"Vaccine","Geographic Level","Geographic Name","Demographic Level","Demographic Name","Indicator_label","Indicator_category_label","influenza_season","Month_Week","Week_ending","Current_Season_Week_Ending_Label","Estimate","CI_Half_width_95pct","Unweighted Sample Size","Weighted Sample Size","Legend_Label","Indicator_Category_Label_Sort","Demographic_Level_Sort_Order","Geography_name_order","Geography_Level_Sort_Order","Season_Sort","Legend_Sort","suppression_flag"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","30.5789","3.1377","2294","33064843","2023-2024, National. Mother's Education: >= College degree","2","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","16.9413","2.562","2294","33064843","2023-2024, National. Mother's Education: >= College degree","3","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","22.0783","2.8167","2294","33064843","2023-2024, National. Mother's Education: >= College degree","4","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","Up-to-date","Yes","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","41.4528","0.8503","66184","33936044","2023-2024, National. Mother's Education: >= College degree",,"3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","41.4528","0.8503","66184","33936044","2023-2024, National. Mother's Education: >= College degree","1","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","22.5765","2.6638","2187","33936044","2023-2024, National. Mother's Education: >= College degree","2","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","13.7577","2.3599","2187","33936044","2023-2024, National. Mother's Education: >= College degree","3","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","22.2129","2.8149","2187","33936044","2023-2024, National. Mother's Education: >= College degree","4","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","Up-to-date","Yes","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","44.2078","1.1278","66184","33386939","2023-2024, National. Mother's Education: >= College degree",,"3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","44.2078","1.1278","66184","33386939","2023-2024, National. Mother's Education: >= College degree","1","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","19.5203","2.5305","2477","33386939","2023-2024, National. Mother's Education: >= College degree","2","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","13.7401","2.2358","2477","33386939","2023-2024, National. Mother's Education: >= College degree","3","3","1","1","1","1010313","0"
,"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","22.5318","2.6904","2477","33386939","2023-2024, National. Mother's Education: >= College degree","4","3","1","1","1","1010313","0"
,"National","National","Mother's Education","High school or equivalent","Up-to-date","Yes","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","17.2729","1.2492","22466","10875634","2023-2024, National. Mother's Education: High school or equivalent",,"3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","17.2729","1.2492","22466","10875634","2023-2024, National. Mother's Education: High school or equivalent","1","3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","26.4837","5.1454","722","10875634","2023-2024, National. Mother's Education: High school or equivalent","2","3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","21.5923","4.5744","722","10875634","2023-2024, National. Mother's Education: High school or equivalent","3","3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","34.6511","5.2402","722","10875634","2023-2024, National. Mother's Education: High school or equivalent","4","3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","Up-to-date","Yes","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","19.1636","1.5495","22466","13272926","2023-2024, National. Mother's Education: High school or equivalent",,"3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","19.1636","1.5495","22466","13272926","2023-2024, National. Mother's Education: High school or equivalent","1","3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","30.8338","5.843","709","13272926","2023-2024, National. Mother's Education: High school or equivalent","2","3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","16.0331","4.8218","709","13272926","2023-2024, National. Mother's Education: High school or equivalent","3","3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","33.9695","5.7623","709","13272926","2023-2024, National. Mother's Education: High school or equivalent","4","3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","Up-to-date","Yes","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","21.0067","1.7271","22466","12106004","2023-2024, National. Mother's Education: High school or equivalent",,"3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","21.0067","1.7271","22466","12106004","2023-2024, National. Mother's Education: High school or equivalent","1","3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","23.3621","5.2539","756","12106004","2023-2024, National. Mother's Education: High school or equivalent","2","3","1","1","1","1010311","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","24.9124","2.2419","8472","5064248","2023-2024, National. Mother's Education: Less than high school","1","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","19.3686","7.8999","227","5064248","2023-2024, National. Mother's Education: Less than high school","2","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","25.4753","9.118","227","5064248","2023-2024, National. Mother's Education: Less than high school","3","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","30.2437","9.5382","227","5064248","2023-2024, National. Mother's Education: Less than high school","4","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","Up-to-date","Yes","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","32.537","1.8805","8472","5081411","2023-2024, National. Mother's Education: Less than high school",,"3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","32.537","1.8805","8472","5081411","2023-2024, National. Mother's Education: Less than high school","1","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","20.8571","8.0159","226","5081411","2023-2024, National. Mother's Education: Less than high school","2","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","23.9764","11.2436","226","5081411","2023-2024, National. Mother's Education: Less than high school","3","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","22.6295","8.3209","226","5081411","2023-2024, National. Mother's Education: Less than high school","4","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","Up-to-date","Yes","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","32.5605","1.8803","8472","4317330","2023-2024, National. Mother's Education: Less than high school",,"3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","32.5605","1.8803","8472","4317330","2023-2024, National. Mother's Education: Less than high school","1","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","14.8984","8.1548","208","4317330","2023-2024, National. Mother's Education: Less than high school","2","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","21.9587","9.0166","208","4317330","2023-2024, National. Mother's Education: Less than high school","3","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","30.5823","9.7789","208","4317330","2023-2024, National. Mother's Education: Less than high school","4","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Some college","Up-to-date","Yes","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","15.4035","1.117","29632","15870738","2023-2024, National. Mother's Education: Some college",,"3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","15.4035","1.117","29632","15870738","2023-2024, National. Mother's Education: Some college","1","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","26.0611","3.9561","1044","15870738","2023-2024, National. Mother's Education: Some college","2","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","17.9088","3.4833","1044","15870738","2023-2024, National. Mother's Education: Some college","3","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","40.6267","4.5925","1044","15870738","2023-2024, National. Mother's Education: Some college","4","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","Up-to-date","Yes","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","17.2184","1.2381","29632","14802826","2023-2024, National. Mother's Education: Some college",,"3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","17.2184","1.2381","29632","14802826","2023-2024, National. Mother's Education: Some college","1","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","28.5026","4.6606","934","14802826","2023-2024, National. Mother's Education: Some college","2","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","22.8022","4.6713","934","14802826","2023-2024, National. Mother's Education: Some college","3","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","31.4768","4.7418","934","14802826","2023-2024, National. Mother's Education: Some college","4","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","Up-to-date","Yes","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","20.0956","1.6257","29632","15947128","2023-2024, National. Mother's Education: Some college",,"3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","20.0956","1.6257","29632","15947128","2023-2024, National. Mother's Education: Some college","1","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","18.2307","3.4583","1009","15947128","2023-2024, National. Mother's Education: Some college","2","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","17.7868","3.9076","1009","15947128","2023-2024, National. Mother's Education: Some college","3","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","43.8868","5.2279","1009","15947128","2023-2024, National. Mother's Education: Some college","4","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","Up-to-date","Yes","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","21.7363","1.9215","29632","15061614","2023-2024, National. Mother's Education: Some college",,"3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","21.7363","1.9215","29632","15061614","2023-2024, National. Mother's Education: Some college","1","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","25.3258","4.1058","1021","15061614","2023-2024, National. Mother's Education: Some college","2","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","12.116","3.3","1021","15061614","2023-2024, National. Mother's Education: Some college","3","3","1","1","1","1010312","0"
,"National","National","Mother's Education","Some college","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","40.8219","5.1471","1021","15061614","2023-2024, National. Mother's Education: Some college","4","3","1","1","1","1010312","0"
,"National","National","Overall","Overall","Up-to-date","Yes","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","36.6679","0.7134","134358","70585594","2023-2024, National. Overall (6 months-17 years)",,"1","1","1","1","1010101","0"
,"National","National","Overall","Overall","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","36.6679","0.7134","134358","70585594","2023-2024, National. Overall (6 months-17 years)","1","1","1","1","1","1010101","0"
,"National","National","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","17.8323","1.7622","4789","70585594","2023-2024, National. Overall (6 months-17 years)","2","1","1","1","1","1010101","0"
,"National","National","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","15.1514","1.6883","4789","70585594","2023-2024, National. Overall (6 months-17 years)","3","1","1","1","1","1010101","0"
,"National","National","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","30.3485","2.1687","4789","70585594","2023-2024, National. Overall (6 months-17 years)","4","1","1","1","1","1010101","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","Up-to-date","Yes","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","17.2508","1.0667","30586","15240890","2023-2024, National. Poverty Status: Above Poverty, Income < $75k",,"4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","17.2508","1.0667","30586","15240890","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","1","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","26.4147","4.1811","1087","15240890","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","2","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","19.1133","3.7249","1087","15240890","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","3","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","37.2212","4.5993","1087","15240890","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","4","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","Up-to-date","Yes","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","18.4931","1.1667","30586","15279209","2023-2024, National. Poverty Status: Above Poverty, Income < $75k",,"4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","18.4931","1.1667","30586","15279209","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","1","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","28.7263","4.5319","921","15279209","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","2","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","17.5826","4.0532","921","15279209","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","3","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","35.198","4.763","921","15279209","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","4","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","Up-to-date","Yes","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","20.7271","1.3558","30586","17175943","2023-2024, National. Poverty Status: Above Poverty, Income < $75k",,"4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","20.7271","1.3558","30586","17175943","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","1","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","25.3129","4.3053","1046","17175943","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","2","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","17.6875","3.8016","1046","17175943","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","3","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 4","2023 Oct 21 12:00:00 AM","2024-10-19","36.2725","4.8541","1046","17175943","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","4","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","Up-to-date","Yes","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","21.6529","1.6185","30586","16282615","2023-2024, National. Poverty Status: Above Poverty, Income < $75k",,"4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","21.6529","1.6185","30586","16282615","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","1","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","26.5805","4.4997","1044","16282615","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","2","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","17.2295","4.0674","1044","16282615","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","3","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 5","2023 Oct 28 12:00:00 AM","2024-10-26","34.5372","4.9569","1044","16282615","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","4","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","Up-to-date","Yes","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","29.1119","1.0587","30586","16929630","2023-2024, National. Poverty Status: Above Poverty, Income < $75k",,"4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","29.1119","1.0587","30586","16929630","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","1","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","18.7261","3.9436","975","16929630","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","2","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","16.6919","4.2326","975","16929630","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","3","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 1","2023 Nov 04 12:00:00 AM","2024-11-02","35.4702","4.8861","975","16929630","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","4","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","Up-to-date","Yes","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","30.1046","1.2005","30586","15448206","2023-2024, National. Poverty Status: Above Poverty, Income < $75k",,"4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","30.1046","1.2005","30586","15448206","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","1","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 2","2023 Nov 11 12:00:00 AM","2024-11-09","15.3042","3.3224","1051","15448206","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","2","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","21.0973","1.5191","17228","11325630","2023-2024, National. Poverty Status: Below Poverty","1","4","1","1","1","1010416","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","30.3998","5.5103","571","11325630","2023-2024, National. Poverty Status: Below Poverty","2","4","1","1","1","1010416","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","21.0965","4.8383","571","11325630","2023-2024, National. Poverty Status: Below Poverty","3","4","1","1","1","1010416","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 2","2023 Oct 07 12:00:00 AM","2024-10-05","27.4064","5.816","571","11325630","2023-2024, National. Poverty Status: Below Poverty","4","4","1","1","1","1010416","0"
,"National","National","Poverty Status","Below Poverty","Up-to-date","Yes","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","22.5168","1.5651","17228","11233604","2023-2024, National. Poverty Status: Below Poverty",,"4","1","1","1","1010416","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Received a vaccination","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","22.5168","1.5651","17228","11233604","2023-2024, National. Poverty Status: Below Poverty","1","4","1","1","1","1010416","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","25.5752","5.4722","608","11233604","2023-2024, National. Poverty Status: Below Poverty","2","4","1","1","1","1010416","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Probably will get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","20.6031","5.5687","608","11233604","2023-2024, National. Poverty Status: Below Poverty","3","4","1","1","1","1010416","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","October Week 3","2023 Oct 14 12:00:00 AM","2024-10-12","31.3049","6.0683","608","11233604","2023-2024, National. Poverty Status: Below Poverty","4","4","1","1","1","1010416","0"
