"Vaccine","Geographic Level","Geographic Name","Demographic Level","Demographic Name","indicator_label","indicator_category_label","Month_Week","Week_ending","Estimates","CI_Half_width_95pct","Unweighted Sample Size","Current_Season_Week_Ending","Influenza_Season","suppression_flag"
"FLU","National","National","Age","75+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","December Week 4","2023 Dec 23 12:00:00 AM","9.1","7.1714","436","2024 Dec 21 12:00:00 AM","2023-2024","0"
"FLU","National","National","Age","75+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 4","2023 Dec 23 12:00:00 AM","8.1","6.2825","436","2024 Dec 21 12:00:00 AM","2023-2024","0"
"FLU","National","National","Age","75+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 4","2023 Dec 23 12:00:00 AM","13.5","6.7037","436","2024 Dec 21 12:00:00 AM","2023-2024","0"
"FLU","National","National","Age","75+ years","4-level vaccination and intent","Received a vaccination","December Week 4","2023 Dec 23 12:00:00 AM","69.2","2.1103","52,171","2024 Dec 21 12:00:00 AM","2023-2024","0"
"FLU","National","National","Age","75+ years","Up-to-date","Yes","December Week 4","2023 Dec 23 12:00:00 AM","69.2","2.1103","52,171","2024 Dec 21 12:00:00 AM","2023-2024","0"
"FLU","National","National","Disability Status","No","4-level vaccination and intent","Definitely or probably will not get a vaccine","December Week 4","2023 Dec 23 12:00:00 AM","30.7","3.2696","3,749","2024 Dec 21 12:00:00 AM","2023-2024","0"
"FLU","National","National","Disability Status","No","4-level vaccination and intent","Definitely will get a vaccine","December Week 4","2023 Dec 23 12:00:00 AM","9","2.3479","3,749","2024 Dec 21 12:00:00 AM","2023-2024","0"
"FLU","National","National","Disability Status","No","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 4","2023 Dec 23 12:00:00 AM","18.4","3.0517","3,749","2024 Dec 21 12:00:00 AM","2023-2024","0"
,"State","Mississippi","Overall","18+ years",,"Yes",,"2022 Nov 26 12:00:00 AM",,,,"2024 Nov 23 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2022 Dec 03 12:00:00 AM",,,,"2024 Nov 30 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2022 Dec 10 12:00:00 AM",,,,"2024 Dec 07 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2022 Dec 17 12:00:00 AM",,,,"2024 Dec 14 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2022 Dec 24 12:00:00 AM",,,,"2024 Dec 21 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2022 Dec 31 12:00:00 AM",,,,"2024 Dec 28 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Jan 07 12:00:00 AM",,,,"2025 Jan 04 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Jan 14 12:00:00 AM",,,,"2025 Jan 11 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Jan 21 12:00:00 AM",,,,"2025 Jan 18 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Jan 28 12:00:00 AM",,,,"2025 Jan 25 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Feb 04 12:00:00 AM",,,,"2025 Feb 01 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Feb 11 12:00:00 AM",,,,"2025 Feb 08 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Feb 18 12:00:00 AM",,,,"2025 Feb 15 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Feb 25 12:00:00 AM",,,,"2025 Feb 22 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Mar 04 12:00:00 AM",,,,"2025 Mar 01 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Mar 11 12:00:00 AM",,,,"2025 Mar 08 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Mar 18 12:00:00 AM",,,,"2025 Mar 15 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Mar 25 12:00:00 AM",,,,"2025 Mar 22 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Apr 01 12:00:00 AM",,,,"2025 Mar 29 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Apr 08 12:00:00 AM",,,,"2025 Apr 05 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Apr 15 12:00:00 AM",,,,"2025 Apr 12 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Apr 22 12:00:00 AM",,,,"2025 Apr 19 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Apr 29 12:00:00 AM",,,,"2025 Apr 26 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 May 06 12:00:00 AM",,,,"2025 May 03 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 May 13 12:00:00 AM",,,,"2025 May 10 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 May 20 12:00:00 AM",,,,"2025 May 17 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 May 27 12:00:00 AM",,,,"2025 May 24 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Jun 03 12:00:00 AM",,,,"2025 May 31 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Jun 10 12:00:00 AM",,,,"2025 Jun 07 12:00:00 AM","2022-2023",
,"State","Mississippi","Overall","18+ years",,"Yes",,"2023 Jun 17 12:00:00 AM",,,,"2025 Jun 14 12:00:00 AM","2022-2023",
,"State","Missouri","Overall","18+ years",,"Yes",,"2021 Oct 02 12:00:00 AM",,,,"2024 Sep 28 12:00:00 AM","2021-2022",
,"State","Missouri","Overall","18+ years",,"Yes",,"2021 Oct 09 12:00:00 AM",,,,"2024 Oct 05 12:00:00 AM","2021-2022",
,"State","Missouri","Overall","18+ years",,"Yes",,"2021 Oct 16 12:00:00 AM",,,,"2024 Oct 12 12:00:00 AM","2021-2022",
,"State","Missouri","Overall","18+ years",,"Yes",,"2021 Oct 23 12:00:00 AM",,,,"2024 Oct 19 12:00:00 AM","2021-2022",
,"State","Missouri","Overall","18+ years",,"Yes",,"2021 Oct 30 12:00:00 AM",,,,"2024 Oct 26 12:00:00 AM","2021-2022",
,"State","Missouri","Overall","18+ years",,"Yes",,"2021 Nov 06 12:00:00 AM",,,,"2024 Nov 02 12:00:00 AM","2021-2022",
,"State","Missouri","Overall","18+ years",,"Yes",,"2021 Nov 13 12:00:00 AM",,,,"2024 Nov 09 12:00:00 AM","2021-2022",
,"State","Missouri","Overall","18+ years",,"Yes",,"2021 Nov 20 12:00:00 AM",,,,"2024 Nov 16 12:00:00 AM","2021-2022",
,"State","Missouri","Overall","18+ years",,"Yes",,"2023 Jun 03 12:00:00 AM",,,,"2025 May 31 12:00:00 AM","2022-2023",
,"State","Missouri","Overall","18+ years",,"Yes",,"2023 Jun 10 12:00:00 AM",,,,"2025 Jun 07 12:00:00 AM","2022-2023",
,"State","Missouri","Overall","18+ years",,"Yes",,"2023 Jun 17 12:00:00 AM",,,,"2025 Jun 14 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Oct 02 12:00:00 AM",,,,"2024 Sep 28 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Oct 09 12:00:00 AM",,,,"2024 Oct 05 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Oct 16 12:00:00 AM",,,,"2024 Oct 12 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Oct 23 12:00:00 AM",,,,"2024 Oct 19 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Oct 30 12:00:00 AM",,,,"2024 Oct 26 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Nov 06 12:00:00 AM",,,,"2024 Nov 02 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Nov 13 12:00:00 AM",,,,"2024 Nov 09 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Nov 20 12:00:00 AM",,,,"2024 Nov 16 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Nov 27 12:00:00 AM",,,,"2024 Nov 23 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Dec 04 12:00:00 AM",,,,"2024 Nov 30 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Dec 11 12:00:00 AM",,,,"2024 Dec 07 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Dec 18 12:00:00 AM",,,,"2024 Dec 14 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2021 Dec 25 12:00:00 AM",,,,"2024 Dec 21 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Jan 01 12:00:00 AM",,,,"2024 Dec 28 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Jan 08 12:00:00 AM",,,,"2025 Jan 04 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Jan 15 12:00:00 AM",,,,"2025 Jan 11 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Jan 22 12:00:00 AM",,,,"2025 Jan 18 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Jan 29 12:00:00 AM",,,,"2025 Jan 25 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Feb 05 12:00:00 AM",,,,"2025 Feb 01 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Feb 12 12:00:00 AM",,,,"2025 Feb 08 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Feb 19 12:00:00 AM",,,,"2025 Feb 15 12:00:00 AM","2021-2022",
"FLU","State","Maryland","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 2","2023 Dec 09 12:00:00 AM","22.5","10.3256","145","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Maryland","Overall","18+ years","4-level vaccination and intent","Received a vaccination","December Week 2","2023 Dec 09 12:00:00 AM","47.7","2.1284","8,298","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Maryland","Overall","18+ years","Up-to-date","Yes","December Week 2","2023 Dec 09 12:00:00 AM","47.7","2.1284","8,298","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Massachusetts","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","December Week 2","2023 Dec 09 12:00:00 AM","23.7","4.8497","449","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Massachusetts","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 2","2023 Dec 09 12:00:00 AM","12.1","3.6654","449","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Massachusetts","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 2","2023 Dec 09 12:00:00 AM","13.5","3.6241","449","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Massachusetts","Overall","18+ years","4-level vaccination and intent","Received a vaccination","December Week 2","2023 Dec 09 12:00:00 AM","50.7","1.6703","11,874","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Massachusetts","Overall","18+ years","Up-to-date","Yes","December Week 2","2023 Dec 09 12:00:00 AM","50.7","1.6703","11,874","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Michigan","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","December Week 2","2023 Dec 09 12:00:00 AM","28.2","15.3462","62","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Michigan","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 2","2023 Dec 09 12:00:00 AM","10.3","6.8367","62","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Michigan","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 2","2023 Dec 09 12:00:00 AM","19.9","16.1728","62","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Michigan","Overall","18+ years","4-level vaccination and intent","Received a vaccination","December Week 2","2023 Dec 09 12:00:00 AM","41.6","2.0791","5,482","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Michigan","Overall","18+ years","Up-to-date","Yes","December Week 2","2023 Dec 09 12:00:00 AM","41.6","2.0791","5,482","2024 Dec 07 12:00:00 AM","2023-2024","0"
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Feb 26 12:00:00 AM",,,,"2025 Feb 22 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Mar 05 12:00:00 AM",,,,"2025 Mar 01 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Mar 12 12:00:00 AM",,,,"2025 Mar 08 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Mar 19 12:00:00 AM",,,,"2025 Mar 15 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Mar 26 12:00:00 AM",,,,"2025 Mar 22 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Apr 02 12:00:00 AM",,,,"2025 Mar 29 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Apr 09 12:00:00 AM",,,,"2025 Apr 05 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Apr 16 12:00:00 AM",,,,"2025 Apr 12 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Apr 23 12:00:00 AM",,,,"2025 Apr 19 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Apr 30 12:00:00 AM",,,,"2025 Apr 26 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 May 07 12:00:00 AM",,,,"2025 May 03 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 May 14 12:00:00 AM",,,,"2025 May 10 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 May 21 12:00:00 AM",,,,"2025 May 17 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 May 28 12:00:00 AM",,,,"2025 May 24 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Jun 04 12:00:00 AM",,,,"2025 May 31 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Jun 11 12:00:00 AM",,,,"2025 Jun 07 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Jun 18 12:00:00 AM",,,,"2025 Jun 14 12:00:00 AM","2021-2022",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Oct 01 12:00:00 AM",,,,"2024 Sep 28 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Oct 08 12:00:00 AM",,,,"2024 Oct 05 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Oct 15 12:00:00 AM",,,,"2024 Oct 12 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Oct 22 12:00:00 AM",,,,"2024 Oct 19 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Oct 29 12:00:00 AM",,,,"2024 Oct 26 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Nov 05 12:00:00 AM",,,,"2024 Nov 02 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Nov 12 12:00:00 AM",,,,"2024 Nov 09 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Nov 19 12:00:00 AM",,,,"2024 Nov 16 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Nov 26 12:00:00 AM",,,,"2024 Nov 23 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Dec 03 12:00:00 AM",,,,"2024 Nov 30 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Dec 10 12:00:00 AM",,,,"2024 Dec 07 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Dec 17 12:00:00 AM",,,,"2024 Dec 14 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Dec 24 12:00:00 AM",,,,"2024 Dec 21 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2022 Dec 31 12:00:00 AM",,,,"2024 Dec 28 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2023 Jan 07 12:00:00 AM",,,,"2025 Jan 04 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2023 Jan 14 12:00:00 AM",,,,"2025 Jan 11 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2023 Jan 21 12:00:00 AM",,,,"2025 Jan 18 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2023 Jan 28 12:00:00 AM",,,,"2025 Jan 25 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2023 Feb 04 12:00:00 AM",,,,"2025 Feb 01 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2023 Feb 11 12:00:00 AM",,,,"2025 Feb 08 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2023 Feb 18 12:00:00 AM",,,,"2025 Feb 15 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2023 Feb 25 12:00:00 AM",,,,"2025 Feb 22 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2023 Mar 04 12:00:00 AM",,,,"2025 Mar 01 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2023 Mar 11 12:00:00 AM",,,,"2025 Mar 08 12:00:00 AM","2022-2023",
,"State","Montana","Overall","18+ years",,"Yes",,"2023 Mar 18 12:00:00 AM",,,,"2025 Mar 15 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Jan 07 12:00:00 AM",,,,"2025 Jan 04 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Jan 14 12:00:00 AM",,,,"2025 Jan 11 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Jan 21 12:00:00 AM",,,,"2025 Jan 18 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Jan 28 12:00:00 AM",,,,"2025 Jan 25 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Feb 04 12:00:00 AM",,,,"2025 Feb 01 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Feb 11 12:00:00 AM",,,,"2025 Feb 08 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Feb 18 12:00:00 AM",,,,"2025 Feb 15 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Feb 25 12:00:00 AM",,,,"2025 Feb 22 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Mar 04 12:00:00 AM",,,,"2025 Mar 01 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Mar 11 12:00:00 AM",,,,"2025 Mar 08 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Mar 18 12:00:00 AM",,,,"2025 Mar 15 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Mar 25 12:00:00 AM",,,,"2025 Mar 22 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Apr 01 12:00:00 AM",,,,"2025 Mar 29 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Apr 08 12:00:00 AM",,,,"2025 Apr 05 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Apr 15 12:00:00 AM",,,,"2025 Apr 12 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Apr 22 12:00:00 AM",,,,"2025 Apr 19 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Apr 29 12:00:00 AM",,,,"2025 Apr 26 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 May 06 12:00:00 AM",,,,"2025 May 03 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 May 13 12:00:00 AM",,,,"2025 May 10 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 May 20 12:00:00 AM",,,,"2025 May 17 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 May 27 12:00:00 AM",,,,"2025 May 24 12:00:00 AM","2022-2023",
"FLU","State","Minnesota","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","December Week 2","2023 Dec 09 12:00:00 AM","28.9","4.4578","582","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Minnesota","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 2","2023 Dec 09 12:00:00 AM","8.3","2.5194","582","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Minnesota","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 2","2023 Dec 09 12:00:00 AM","15.1","3.6165","582","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Minnesota","Overall","18+ years","4-level vaccination and intent","Received a vaccination","December Week 2","2023 Dec 09 12:00:00 AM","47.7","1.6805","9,645","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Minnesota","Overall","18+ years","Up-to-date","Yes","December Week 2","2023 Dec 09 12:00:00 AM","47.7","1.6805","9,645","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Mississippi","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","December Week 2","2023 Dec 09 12:00:00 AM","39.6","8.1707","198","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Mississippi","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 2","2023 Dec 09 12:00:00 AM","6.8","3.9218","198","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Mississippi","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","December Week 2","2023 Dec 09 12:00:00 AM","22","7.3354","198","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Mississippi","Overall","18+ years","4-level vaccination and intent","Received a vaccination","December Week 2","2023 Dec 09 12:00:00 AM","31.6","1.703","6,838","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Mississippi","Overall","18+ years","Up-to-date","Yes","December Week 2","2023 Dec 09 12:00:00 AM","31.6","1.703","6,838","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Missouri","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","December Week 2","2023 Dec 09 12:00:00 AM","36","10.9475","139","2024 Dec 07 12:00:00 AM","2023-2024","0"
"FLU","State","Missouri","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","December Week 2","2023 Dec 09 12:00:00 AM","5.7","4.5693","139","2024 Dec 07 12:00:00 AM","2023-2024","0"
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Jun 03 12:00:00 AM",,,,"2025 May 31 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Jun 10 12:00:00 AM",,,,"2025 Jun 07 12:00:00 AM","2022-2023",
,"State","Nebraska","Overall","18+ years",,"Yes",,"2023 Jun 17 12:00:00 AM",,,,"2025 Jun 14 12:00:00 AM","2022-2023",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Oct 02 12:00:00 AM",,,,"2024 Sep 28 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Oct 09 12:00:00 AM",,,,"2024 Oct 05 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Oct 16 12:00:00 AM",,,,"2024 Oct 12 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Oct 23 12:00:00 AM",,,,"2024 Oct 19 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Oct 30 12:00:00 AM",,,,"2024 Oct 26 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Nov 06 12:00:00 AM",,,,"2024 Nov 02 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Nov 13 12:00:00 AM",,,,"2024 Nov 09 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Nov 20 12:00:00 AM",,,,"2024 Nov 16 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Nov 27 12:00:00 AM",,,,"2024 Nov 23 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Dec 04 12:00:00 AM",,,,"2024 Nov 30 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Dec 11 12:00:00 AM",,,,"2024 Dec 07 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Dec 18 12:00:00 AM",,,,"2024 Dec 14 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2021 Dec 25 12:00:00 AM",,,,"2024 Dec 21 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2022 Jan 01 12:00:00 AM",,,,"2024 Dec 28 12:00:00 AM","2021-2022",
,"State","Nevada","Overall","18+ years",,"Yes",,"2022 Jan 08 12:00:00 AM",,,,"2025 Jan 04 12:00:00 AM","2021-2022",
